,stdWeights,seed,class,"<C>, delay=-14",No-Activity,Fix,Cyclic,Chaotic,Non-Stationary,"<C>, delay=-10","<C>, delay=-6","<C>, delay=-2"
47,0.01,4700,global,-1.4384981907018232e-16,1.0,0.0,0.0,0.0,0.0,-1.8583718823483024e-16,-1.21262818329405e-17,2.5226296713256914e-16
48,0.01,4800,global,8.9272651708796e-17,1.0,0.0,0.0,0.0,0.0,9.510277330823824e-17,-8.104980742259325e-17,1.69707415467211e-16
49,0.01,4900,global,1.1919688746734382e-18,1.0,0.0,0.0,0.0,0.0,-1.729181607951206e-16,-1.9821321198314564e-16,1.32660011026347e-16
50,0.01,5000,global,-1.9394627686026044e-16,1.0,0.0,0.0,0.0,0.0,-6.623114264923256e-17,6.311528231271985e-17,1.2150304965675937e-16
51,0.01,5100,global,1.994814722200385e-17,1.0,0.0,0.0,0.0,0.0,1.2026213385560446e-16,-1.486473835937241e-16,-3.882401684277247e-18
52,0.01,5200,global,1.126209653962719e-16,1.0,0.0,0.0,0.0,0.0,6.623114264923256e-17,-2.34332601952311e-16,2.7195466648150776e-16
53,0.01,5300,global,-1.139678676171246e-16,1.0,0.0,0.0,0.0,0.0,-1.5922571155316606e-16,1.4066931692367883e-16,3.42585843939198e-17
54,0.01,5400,global,1.4427296952908335e-16,1.0,0.0,0.0,0.0,0.0,-6.623114264923256e-17,-8.957354628496769e-17,1.861369761694163e-16
55,0.01,5500,global,-4.789249602194945e-17,1.0,0.0,0.0,0.0,0.0,3.2715049020425765e-16,7.345281530706469e-17,1.4890958093553304e-16
56,0.01,5600,global,-1.1334920151655583e-16,1.0,0.0,0.0,0.0,0.0,-1.187888987271157e-16,1.1623322107449923e-16,-6.439595636191776e-17
57,0.01,5700,global,-2.880870655750196e-18,1.0,0.0,0.0,0.0,0.0,-1.7410701127570807e-16,1.2735358345645858e-16,1.0796174139910434e-16
58,0.01,5800,global,-1.221058027845877e-16,1.0,0.0,0.0,0.0,0.0,-1.2026213385560446e-16,-5.944512012035504e-17,1.5881638950336706e-16
59,0.01,5900,global,-8.172910091997426e-17,1.0,0.0,0.0,0.0,0.0,1.9560243843497142e-16,-7.124647439808299e-17,5.686870284864974e-17
60,0.01,6000,global,-2.8973690198463667e-17,1.0,0.0,0.0,0.0,0.0,8.106661883722155e-17,1.5600122703446554e-16,8.097130604932826e-17
61,0.01,6100,global,5.790085852567682e-17,1.0,0.0,0.0,0.0,0.0,1.7410701127570807e-16,3.1575454871400085e-17,3.655674046216718e-17
62,0.01,6200,global,2.7864995882340514e-16,1.0,0.0,0.0,0.0,0.0,-1.0214955436862091e-16,-1.21262818329405e-17,-7.416922628687952e-17
63,0.01,6300,global,1.674216883852134e-16,1.0,0.0,0.0,0.0,0.0,1.7410701127570807e-16,-1.960666604902051e-17,5.791965637769348e-17
64,0.01,6400,global,1.2525784565120476e-16,1.0,0.0,0.0,0.0,0.0,-1.9560243843497142e-16,4.495112758407114e-17,2.7195466648150776e-16
65,0.01,6500,global,1.4108663776974083e-16,1.0,0.0,0.0,0.0,0.0,-1.2026213385560446e-16,6.819728049272252e-17,1.4890958093553304e-16
66,0.01,6600,global,-8.053482925173085e-17,1.0,0.0,0.0,0.0,0.0,2.2179623345168159e-16,-1.4066931692367883e-16,-3.42585843939198e-17
67,0.01,6700,global,1.5309437244058286e-16,1.0,0.0,0.0,0.0,0.0,1.4134506938700382e-16,2.1604687302238197e-17,-9.659393454287664e-17
68,0.01,6800,global,-1.4240450554641704e-16,1.0,0.0,0.0,0.0,0.0,1.185310914597007e-16,1.440341270293976e-16,1.32660011026347e-16
69,0.01,6900,global,9.535121621461704e-17,1.0,0.0,0.0,0.0,0.0,2.892186513432288e-16,-4.021665426537072e-17,8.097130604932826e-17
70,0.01,7000,global,-3.377273513204784e-17,1.0,0.0,0.0,0.0,0.0,1.2386265229128941e-17,5.3956646409604187e-17,1.6582501378293374e-16
71,0.01,7100,global,2.5355179945733407e-16,1.0,0.0,0.0,0.0,0.0,2.892186513432288e-16,-4.495112758407114e-17,-1.639929250824034e-16
72,0.01,7200,global,1.1131996014395746e-16,1.0,0.0,0.0,0.0,0.0,1.9560243843497142e-16,-5.2690981001205246e-17,-6.439595636191776e-17
73,0.01,7300,global,1.664230946679388e-16,1.0,0.0,0.0,0.0,0.0,-6.768022515896217e-17,1.520678603106832e-16,-7.628197215639409e-17
74,0.01,7400,global,1.250893531728377e-16,1.0,0.0,0.0,0.0,0.0,-2.0291218646302063e-16,-2.9803733281064553e-16,1.7598099497617504e-16
75,0.01,7500,global,-4.516539588627918e-17,1.0,0.0,0.0,0.0,0.0,-1.1320362179364677e-17,-2.6635527919680998e-17,-7.416922628687952e-17
76,0.01,7600,global,,1.0,0.0,0.0,0.0,0.0,-1.0214955436862091e-16,5.739493684160343e-17,-2.0993515866064831e-16
77,0.01,7700,global,-5.100471904467215e-17,1.0,0.0,0.0,0.0,0.0,2.8864283087345793e-16,-1.3166379809814578e-16,1.32660011026347e-16
78,0.01,7800,global,1.1366717645859942e-16,1.0,0.0,0.0,0.0,0.0,-4.266741373764291e-17,5.498409856509195e-17,1.6582501378293374e-16
79,0.01,7900,global,-4.7667839384126745e-17,1.0,0.0,0.0,0.0,0.0,1.9518994680710743e-16,-3.1575454871400085e-17,1.8225457448513905e-16
80,0.01,8000,global,-2.0803077189888752e-17,1.0,0.0,0.0,0.0,0.0,-2.347979534533543e-16,-7.406724679345041e-17,1.861369761694163e-16
81,0.01,8100,global,1.400606871598381e-16,1.0,0.0,0.0,0.0,0.0,4.83046769485173e-17,5.944512012035504e-17,1.3504435791441442e-16
82,0.01,8200,global,-2.592382309853217e-17,1.0,0.0,0.0,0.0,0.0,-2.722174141711792e-17,-3.1575454871400085e-17,-3.1059213474217975e-18
83,0.01,8300,global,-1.1919688746734382e-18,1.0,0.0,0.0,0.0,0.0,-3.767403159361392e-17,-7.124647439808299e-17,-1.775652405922049e-16
84,0.01,8400,global,5.582847255034572e-17,1.0,0.0,0.0,0.0,0.0,-6.623114264923256e-17,-1.4203610577617991e-16,8.097130604932826e-17
85,0.01,8500,global,-3.2953009385125903e-17,1.0,0.0,0.0,0.0,0.0,-7.862645895449424e-17,7.345281530706469e-17,8.097130604932826e-17
86,0.01,8600,global,2.4603393439501326e-16,1.0,0.0,0.0,0.0,0.0,-1.3476728837214927e-16,-4.1892559430457325e-16,1.8589900601867712e-16
87,0.01,8700,global,1.4086198113191815e-16,1.0,0.0,0.0,0.0,0.0,2.181946509035033e-16,-1.5754240526769721e-16,5.791965637769348e-17
88,0.01,8800,global,-7.422217880816935e-17,1.0,0.0,0.0,0.0,0.0,-1.59483518820581e-16,-1.5677181615108138e-16,1.32660011026347e-16
89,0.01,8900,global,-7.422217880816935e-17,1.0,0.0,0.0,0.0,0.0,8.106661883722155e-17,9.99010626608842e-19,8.097130604932826e-17
90,0.01,9000,global,2.592382309853217e-17,1.0,0.0,0.0,0.0,0.0,-2.4638683037486638e-17,2.845290545723458e-16,1.1283871261856127e-16
91,0.01,9100,global,-2.2875463165219853e-17,1.0,0.0,0.0,0.0,0.0,-1.0561206401999104e-16,-1.3166379809814578e-16,-7.416922628687952e-17
92,0.01,9200,global,1.114266937280285e-16,1.0,0.0,0.0,0.0,0.0,-6.243984412625252e-17,-6.311528231271985e-17,8.097130604932826e-17
93,0.01,9300,global,1.3885874620171802e-16,1.0,0.0,0.0,0.0,0.0,1.185310914597007e-16,-1.224294397271594e-16,3.655674046216718e-17
94,0.01,9400,global,1.582808437644963e-16,1.0,0.0,0.0,0.0,0.0,-3.026532933177683e-16,1.2088826149392774e-16,-8.882913117432215e-17
95,0.01,9500,global,-1.9244634029836563e-16,1.0,0.0,0.0,0.0,0.0,-1.59483518820581e-16,1.4203610577617991e-16,2.4210698593932784e-16
96,0.01,9600,global,-1.374771555514973e-16,1.0,0.0,0.0,0.0,0.0,1.2386265229128941e-17,1.5506299491517266e-17,3.655674046216718e-17
97,0.01,9700,global,-4.7667839384126745e-17,1.0,0.0,0.0,0.0,0.0,1.0214955436862091e-16,-1.554439558888888e-16,2.5853654664153315e-16
98,0.01,9800,global,4.6553909935639167e-17,1.0,0.0,0.0,0.0,0.0,1.2026213385560446e-16,2.9410031674731056e-17,2.0396599986113082e-16
99,0.01,9900,global,-1.94944870577535e-16,1.0,0.0,0.0,0.0,0.0,2.347979534533543e-16,-9.53909499528414e-17,1.5725327820572235e-16
100,0.0133,0,global,-2.0870262437587143e-16,1.0,0.0,0.0,0.0,0.0,8.065412720935761e-17,1.350827823829958e-17,-2.232123458652848e-16
101,0.0133,100,global,1.7435037477215956e-16,1.0,0.0,0.0,0.0,0.0,1.7410701127570807e-16,-1.3166379809814578e-16,1.1283871261856127e-16
102,0.0133,200,global,1.4427296952908335e-16,1.0,0.0,0.0,0.0,0.0,-2.722174141711792e-17,-2.1328258017426291e-16,-3.1059213474217975e-18
103,0.0133,300,global,3.3669906963868656e-17,1.0,0.0,0.0,0.0,0.0,1.187888987271157e-16,-2.9410031674731056e-17,-1.775652405922049e-16
104,0.0133,400,global,1.2284847471913963e-16,1.0,0.0,0.0,0.0,0.0,1.2026213385560446e-16,-1.9821321198314564e-16,1.32660011026347e-16
105,0.0133,500,global,2.7864995882340514e-16,1.0,0.0,0.0,0.0,0.0,-4.83046769485173e-17,-6.796885898272949e-17,8.882913117432215e-17
