,K,delay,N,<C>
259,3.0,-10.0,10000.0,0.8628728429811782
260,3.0,-6.0,10000.0,0.9651929389113304
261,3.0,-6.0,10000.0,0.9643163202201176
262,3.0,-6.0,10000.0,0.9693573156347638
263,3.0,-6.0,10000.0,0.962745755352406
264,3.0,-6.0,10000.0,0.9604473242835236
265,3.0,-6.0,10000.0,0.9548646652781088
266,3.0,-6.0,10000.0,0.966263915993948
267,3.0,-6.0,10000.0,0.9584521886758864
268,3.0,-6.0,10000.0,0.9570768670878684
269,3.0,-6.0,10000.0,0.9670640268588896
270,3.0,-6.0,10000.0,0.9640412867402904
271,3.0,-6.0,10000.0,0.9421228909607984
272,3.0,-6.0,10000.0,0.9636681873698134
273,3.0,-6.0,10000.0,0.9577925930274328
274,3.0,-6.0,10000.0,0.9606537989181918
275,3.0,-6.0,10000.0,0.9618766724613448
276,3.0,-6.0,10000.0,0.9694199756965288
277,3.0,-6.0,10000.0,0.9662721204133544
278,3.0,-6.0,10000.0,0.9550517086285673
279,3.0,-6.0,10000.0,0.9522435567028064
280,3.0,-2.0,10000.0,0.9922341673025856
281,3.0,-2.0,10000.0,0.9929363542213142
282,3.0,-2.0,10000.0,0.9898327102953566
283,3.0,-2.0,10000.0,0.9932619606001069
284,3.0,-2.0,10000.0,0.9898684600605864
285,3.0,-2.0,10000.0,0.9910476560004504
286,3.0,-2.0,10000.0,0.9913209914061534
287,3.0,-2.0,10000.0,0.9918358176706488
288,3.0,-2.0,10000.0,0.9910037876060492
289,3.0,-2.0,10000.0,0.9937917976235676
290,3.0,-2.0,10000.0,0.9926575971081132
291,3.0,-2.0,10000.0,0.9902505106395716
292,3.0,-2.0,10000.0,0.9923567295949874
293,3.0,-2.0,10000.0,0.9937476168907108
294,3.0,-2.0,10000.0,0.9913604037112124
295,3.0,-2.0,10000.0,0.9907898716734608
296,3.0,-2.0,10000.0,0.9886258515657292
297,3.0,-2.0,10000.0,0.9908221104893526
298,3.0,-2.0,10000.0,0.9927187050652904
299,3.0,-2.0,10000.0,0.9890678680134664
300,4.0,-10.0,10000.0,0.6875678828148124
301,4.0,-10.0,10000.0,0.7875613898481447
302,4.0,-10.0,10000.0,0.7670406226006282
303,4.0,-10.0,10000.0,0.8265098934436829
304,4.0,-10.0,10000.0,0.8422992753449556
305,4.0,-10.0,10000.0,0.8357340305909142
306,4.0,-10.0,10000.0,0.7448613092934828
307,4.0,-10.0,10000.0,0.7967307180407825
308,4.0,-10.0,10000.0,0.7808931842127902
309,4.0,-10.0,10000.0,0.8007542448564259
310,4.0,-10.0,10000.0,0.8308893168924829
311,4.0,-10.0,10000.0,0.7994413224321274
312,4.0,-10.0,10000.0,0.7728880205665857
313,4.0,-10.0,10000.0,0.7417356885036424
314,4.0,-10.0,10000.0,0.8064242030278935
315,4.0,-10.0,10000.0,0.769281332527236
316,4.0,-10.0,10000.0,0.70237772928179
317,4.0,-10.0,10000.0,0.7289233710580225
318,4.0,-10.0,10000.0,0.7774151079292471
319,4.0,-10.0,10000.0,0.7111924269238379
320,4.0,-6.0,10000.0,0.8417656726522253
321,4.0,-6.0,10000.0,0.9039230340874562
322,4.0,-6.0,10000.0,0.8705152976623891
323,4.0,-6.0,10000.0,0.931507531840038
324,4.0,-6.0,10000.0,0.924866015437827
325,4.0,-6.0,10000.0,0.9074664821509671
326,4.0,-6.0,10000.0,0.8778140612496943
327,4.0,-6.0,10000.0,0.885779072601737
328,4.0,-6.0,10000.0,0.9131629042787932
329,4.0,-6.0,10000.0,0.9119642041660858
330,4.0,-6.0,10000.0,0.9206515091298144
331,4.0,-6.0,10000.0,0.9033027845375856
332,4.0,-6.0,10000.0,0.8761308143680295
333,4.0,-6.0,10000.0,0.883165345459837
334,4.0,-6.0,10000.0,0.8940369844172447
335,4.0,-6.0,10000.0,0.9000760326959346
336,4.0,-6.0,10000.0,0.8640414969364384
337,4.0,-6.0,10000.0,0.8508412855099514
338,4.0,-6.0,10000.0,0.8953131157136361
339,4.0,-6.0,10000.0,0.8850457897380355
340,4.0,-2.0,10000.0,0.9512088637726256
341,4.0,-2.0,10000.0,0.9653738036858452
342,4.0,-2.0,10000.0,0.9531413468599512
343,4.0,-2.0,10000.0,0.9702152224983598
344,4.0,-2.0,10000.0,0.9665913627712136
345,4.0,-2.0,10000.0,0.963098780959632
346,4.0,-2.0,10000.0,0.9516359842804274
347,4.0,-2.0,10000.0,0.963148760916022
348,4.0,-2.0,10000.0,0.970665986055144
349,4.0,-2.0,10000.0,0.9695704625875023
350,4.0,-2.0,10000.0,0.9757344095654146
351,4.0,-2.0,10000.0,0.9707106256275492
352,4.0,-2.0,10000.0,0.9626200225471928
353,4.0,-2.0,10000.0,0.9544613875621484
354,4.0,-2.0,10000.0,0.968143145280818
355,4.0,-2.0,10000.0,0.9632001542259075
356,4.0,-2.0,10000.0,0.9299260621813964
357,4.0,-2.0,10000.0,0.9619888668434402
358,4.0,-2.0,10000.0,0.955971404638996
359,4.0,-2.0,10000.0,0.9660472371070344
360,4.0,-18.0,10000.0,0.4818513068589654
361,4.0,-18.0,10000.0,0.5386322987349201
362,4.0,-18.0,10000.0,0.5006556362224017
363,4.0,-18.0,10000.0,0.5921118371361815
364,4.0,-18.0,10000.0,0.6441042609952314
365,4.0,-18.0,10000.0,0.5798200590113864
366,4.0,-18.0,10000.0,0.5356744947551134
367,4.0,-18.0,10000.0,0.6359149087641007
368,4.0,-18.0,10000.0,0.5710615792521982
369,4.0,-18.0,10000.0,0.57854716217393
370,4.0,-18.0,10000.0,0.5404184957570921
371,4.0,-18.0,10000.0,0.603755957362589
372,4.0,-18.0,10000.0,0.5199715760847072
373,4.0,-18.0,10000.0,0.4397308586504818
374,4.0,-18.0,10000.0,0.5965593041664734
375,4.0,-18.0,10000.0,0.5909815770370468
376,4.0,-18.0,10000.0,0.5542241366024442
377,4.0,-18.0,10000.0,0.5151535186389794
378,4.0,-18.0,10000.0,0.5229172827080697
379,4.0,-18.0,10000.0,0.4584576994728745
380,4.0,-14.0,10000.0,0.5450515491576999
381,4.0,-14.0,10000.0,0.6458101329937717
382,4.0,-14.0,10000.0,0.6863368599189055
383,4.0,-14.0,10000.0,0.7320091502306414
384,4.0,-14.0,10000.0,0.7206972358098128
385,4.0,-14.0,10000.0,0.7217756736569767
386,4.0,-14.0,10000.0,0.6113253969042538
387,4.0,-14.0,10000.0,0.704582821653581
388,4.0,-14.0,10000.0,0.7080425329288674
389,4.0,-14.0,10000.0,0.6958140322999717
390,4.0,-14.0,10000.0,0.6777319573134439
391,4.0,-14.0,10000.0,0.7000685520173846
392,4.0,-14.0,10000.0,0.6327994614753456
393,4.0,-14.0,10000.0,0.5959382198052029
394,4.0,-14.0,10000.0,0.6684185552289781
395,4.0,-14.0,10000.0,0.6676363651084998
396,4.0,-14.0,10000.0,0.5998065425229103
397,4.0,-14.0,10000.0,0.6052180880399644
398,4.0,-14.0,10000.0,0.6142074473766802
399,4.0,-14.0,10000.0,0.5859475613256084
400,5.0,-14.0,10000.0,0.2642460908286765
401,5.0,-14.0,10000.0,0.360981243528884
402,5.0,-14.0,10000.0,0.2460624701037111
403,5.0,-14.0,10000.0,0.2688258600275257
404,5.0,-14.0,10000.0,0.2313307119610369
405,5.0,-14.0,10000.0,0.2596152312029499
406,5.0,-14.0,10000.0,0.1968175295424433
407,5.0,-14.0,10000.0,0.2563828865756365
408,5.0,-14.0,10000.0,0.2999692263632407
409,5.0,-14.0,10000.0,0.2999669859519911
410,5.0,-14.0,10000.0,0.3219207508787858
411,5.0,-14.0,10000.0,0.2715263231336892
412,5.0,-14.0,10000.0,0.2571401868782957
413,5.0,-14.0,10000.0,0.2849320205488275
414,5.0,-14.0,10000.0,0.2917224787586895
415,5.0,-14.0,10000.0,0.2714963044694788
416,5.0,-14.0,10000.0,0.2711320232472231
417,5.0,-14.0,10000.0,0.3360255031072982
418,5.0,-14.0,10000.0,0.2619829003459031
419,5.0,-14.0,10000.0,0.2877621701494574
420,5.0,-10.0,10000.0,0.382355600705467
421,5.0,-10.0,10000.0,0.4696665941891022
422,5.0,-10.0,10000.0,0.4286436986791865
423,5.0,-10.0,10000.0,0.3898070494716249
424,5.0,-10.0,10000.0,0.3609485992554438
425,5.0,-10.0,10000.0,0.4170405118189983
426,5.0,-10.0,10000.0,0.3891741496251893
427,5.0,-10.0,10000.0,0.3920002712638361
428,5.0,-10.0,10000.0,0.464683085125735
429,5.0,-10.0,10000.0,0.4655788648002582
430,5.0,-10.0,10000.0,0.4646917578371955
431,5.0,-10.0,10000.0,0.3965501854526774
432,5.0,-10.0,10000.0,0.4281805771814745
433,5.0,-10.0,10000.0,0.4473977622467592
434,5.0,-10.0,10000.0,0.4609829607945014
435,5.0,-10.0,10000.0,0.4391085100629257
436,5.0,-10.0,10000.0,0.4396808290060291
437,5.0,-10.0,10000.0,0.459595087335199
438,5.0,-10.0,10000.0,0.4129541676972285
439,5.0,-10.0,10000.0,0.4529163521864331
440,5.0,-6.0,10000.0,0.6437273053051416
441,5.0,-6.0,10000.0,0.7139865538910372
442,5.0,-6.0,10000.0,0.6452330406247138
443,5.0,-6.0,10000.0,0.6426141785571643
444,5.0,-6.0,10000.0,0.6085755721638201
445,5.0,-6.0,10000.0,0.6575483281727965
446,5.0,-6.0,10000.0,0.6204104355002541
447,5.0,-6.0,10000.0,0.6229819873437684
448,5.0,-6.0,10000.0,0.670033073986299
449,5.0,-6.0,10000.0,0.6881975804225358
450,5.0,-6.0,10000.0,0.6587249161930526
451,5.0,-6.0,10000.0,0.6117582759965223
452,5.0,-6.0,10000.0,0.6336052108507118
453,5.0,-6.0,10000.0,0.6702031066272107
454,5.0,-6.0,10000.0,0.6768483619816308
455,5.0,-6.0,10000.0,0.6525707371962273
456,5.0,-6.0,10000.0,0.6357473911796451
457,5.0,-6.0,10000.0,0.6656164025488205
458,5.0,-6.0,10000.0,0.6359097642733171
459,5.0,-6.0,10000.0,0.6503494114922499
460,5.0,-2.0,10000.0,0.8697605083942644
461,5.0,-2.0,10000.0,0.9117888187152816
462,5.0,-2.0,10000.0,0.8633759830284313
463,5.0,-2.0,10000.0,0.8707471491255818
464,5.0,-2.0,10000.0,0.8508815612480118
465,5.0,-2.0,10000.0,0.8777165632133134
466,5.0,-2.0,10000.0,0.8534451623514206
467,5.0,-2.0,10000.0,0.8514431404138726
468,5.0,-2.0,10000.0,0.8755864796689492
469,5.0,-2.0,10000.0,0.8756274419923178
470,5.0,-2.0,10000.0,0.8715279427333436
471,5.0,-2.0,10000.0,0.8542366061778977
472,5.0,-2.0,10000.0,0.8636540563993733
473,5.0,-2.0,10000.0,0.8887503707331345
474,5.0,-2.0,10000.0,0.8870120728356387
475,5.0,-2.0,10000.0,0.8737630241909505
476,5.0,-2.0,10000.0,0.864962055318939
477,5.0,-2.0,10000.0,0.865599768810031
478,5.0,-2.0,10000.0,0.8421862711429018
479,5.0,-2.0,10000.0,0.8808770485698508
480,5.0,-18.0,10000.0,0.1298490444551863
481,5.0,-18.0,10000.0,0.2110705683855994
482,5.0,-18.0,10000.0,0.1303546493768911
483,5.0,-18.0,10000.0,0.1760784220100272
484,5.0,-18.0,10000.0,0.1164217183610413
485,5.0,-18.0,10000.0,0.1494644557854642
486,5.0,-18.0,10000.0,0.126836874488778
487,5.0,-18.0,10000.0,0.1354901096425405
488,5.0,-18.0,10000.0,0.1987379561476996
489,5.0,-18.0,10000.0,0.1870429981231019
490,5.0,-18.0,10000.0,0.1642145069997423
491,5.0,-18.0,10000.0,0.1486032465342297
492,5.0,-18.0,10000.0,0.165674307189769
493,5.0,-18.0,10000.0,0.1789147846473071
494,5.0,-18.0,10000.0,0.1856620252153989
495,5.0,-18.0,10000.0,0.1815675547228668
496,5.0,-18.0,10000.0,0.1408085355771087
497,5.0,-18.0,10000.0,0.2068153333500035
498,5.0,-18.0,10000.0,0.1677839936740522
499,5.0,-18.0,10000.0,0.1874591041786087
500,8.0,-10.0,10000.0,0.3709229040294234
501,8.0,-10.0,10000.0,0.366481995643658
502,8.0,-10.0,10000.0,0.277414142684178
503,8.0,-10.0,10000.0,0.3833589341207455
504,8.0,-10.0,10000.0,0.3481936167672663
505,8.0,-10.0,10000.0,0.361214709989177
506,8.0,-10.0,10000.0,0.3363808272349393
507,8.0,-10.0,10000.0,0.3720348402190786
508,8.0,-10.0,10000.0,0.3852038260267563
509,8.0,-10.0,10000.0,0.3584087557875721
510,8.0,-10.0,10000.0,0.3587090874732986
511,8.0,-10.0,10000.0,0.3598882216396076
512,8.0,-10.0,10000.0,0.3331934433194585
513,8.0,-10.0,10000.0,0.3201781806882834
514,8.0,-10.0,10000.0,0.3829815918253727
515,8.0,-10.0,10000.0,0.3813368644689124
516,8.0,-10.0,10000.0,0.3755469924631164
517,8.0,-10.0,10000.0,0.357205364193685
518,8.0,-10.0,10000.0,0.3381876624109349
519,8.0,-10.0,10000.0,0.3627346417115521
520,8.0,-6.0,10000.0,0.6629474942547018
521,8.0,-6.0,10000.0,0.6865424167488907
522,8.0,-6.0,10000.0,0.6753377310567985
523,8.0,-6.0,10000.0,0.6934753348661663
524,8.0,-6.0,10000.0,0.6803491173012386
525,8.0,-6.0,10000.0,0.6836993722633761
526,8.0,-6.0,10000.0,0.6793422679039902
527,8.0,-6.0,10000.0,0.6801439696864386
528,8.0,-6.0,10000.0,0.7027447798372252
529,8.0,-6.0,10000.0,0.6898072231348436
530,8.0,-6.0,10000.0,0.688587781080909
531,8.0,-6.0,10000.0,0.6865277538228136
532,8.0,-6.0,10000.0,0.6776157780096687
533,8.0,-6.0,10000.0,0.6836967305439081
534,8.0,-6.0,10000.0,0.7025363580710524
535,8.0,-6.0,10000.0,0.6976034371531181
536,8.0,-6.0,10000.0,0.68628763866766
537,8.0,-6.0,10000.0,0.6633752391178049
538,8.0,-6.0,10000.0,0.676476642035379
539,8.0,-6.0,10000.0,0.6875959272495913
540,8.0,-2.0,10000.0,0.9204049815679378
541,8.0,-2.0,10000.0,0.9188197756236558
542,8.0,-2.0,10000.0,0.920315962891945
543,8.0,-2.0,10000.0,0.9258308086195772
544,8.0,-2.0,10000.0,0.9228372707051764
545,8.0,-2.0,10000.0,0.920548535896322
546,8.0,-2.0,10000.0,0.9197123770887244
547,8.0,-2.0,10000.0,0.9204481165337828
548,8.0,-2.0,10000.0,0.925424867856497
549,8.0,-2.0,10000.0,0.9162457476011658
550,8.0,-2.0,10000.0,0.9182315381624876
551,8.0,-2.0,10000.0,0.9218881090270248
552,8.0,-2.0,10000.0,0.9192482672761766
553,8.0,-2.0,10000.0,0.9203028803133796
554,8.0,-2.0,10000.0,0.9248962995201874
555,8.0,-2.0,10000.0,0.9204860069740876
556,8.0,-2.0,10000.0,0.9226010289563374
557,8.0,-2.0,10000.0,0.9246543687161224
558,8.0,-2.0,10000.0,0.9228792267872205
