,K,delay,N,<C>
532,8.0,-6.0,10000.0,0.8737336730057997
533,8.0,-6.0,10000.0,0.8673138687502415
534,8.0,-6.0,10000.0,0.841073508421861
535,8.0,-6.0,10000.0,0.8876601754059907
536,8.0,-6.0,10000.0,0.8701007457569008
537,8.0,-6.0,10000.0,0.8573386706362793
538,8.0,-6.0,10000.0,0.8695572730818457
539,8.0,-6.0,10000.0,0.850025360688683
540,8.0,-2.0,10000.0,0.9753447667846996
541,8.0,-2.0,10000.0,0.9758126455558784
542,8.0,-2.0,10000.0,0.9785635201663356
543,8.0,-2.0,10000.0,0.9749786316389834
544,8.0,-2.0,10000.0,0.9733533106931522
545,8.0,-2.0,10000.0,0.9759327780277356
546,8.0,-2.0,10000.0,0.9715032842834556
547,8.0,-2.0,10000.0,0.9692358481522294
548,8.0,-2.0,10000.0,0.9724002571509682
549,8.0,-2.0,10000.0,0.9735538455780984
550,8.0,-2.0,10000.0,0.9725779660521038
551,8.0,-2.0,10000.0,0.969821446225678
552,8.0,-2.0,10000.0,0.9741941243487972
553,8.0,-2.0,10000.0,0.9748511455996756
554,8.0,-2.0,10000.0,0.9674183214059934
555,8.0,-2.0,10000.0,0.979157121721388
556,8.0,-2.0,10000.0,0.9721799023739692
557,8.0,-2.0,10000.0,0.9729003255460488
558,8.0,-2.0,10000.0,0.9756639543619856
559,8.0,-2.0,10000.0,0.9713845777294182
